time,Value
2016-08-02 00:00:00,2.0934639538670603
2016-08-02 00:05:00,2.03263199323936
2016-08-02 00:10:00,1.4832964697328601
2016-08-02 00:15:00,1.9222048055088201
2016-08-02 00:20:00,1.9223019768603797
2016-08-02 00:25:00,2.9842408297253398
2016-08-02 00:30:00,2.22882799147966
2016-08-02 00:35:00,1.62845895700836
2016-08-02 00:40:00,1.87533601451486
2016-08-02 00:45:00,2.03892209870508
2016-08-02 00:50:00,2.37362650919406
2016-08-02 00:55:00,2.91062294070828
2016-08-02 01:00:00,4.877709647739801
2016-08-02 01:05:00,5.2766384768974
2016-08-02 01:10:00,4.65147504337662
2016-08-02 01:15:00,4.1068313996571
2016-08-02 01:20:00,4.7529652756628
2016-08-02 01:25:00,4.08374596838884
2016-08-02 01:30:00,3.11714105914248
2016-08-02 01:35:00,2.8050262268835597
2016-08-02 01:40:00,2.95574934298082
2016-08-02 01:45:00,2.52259155474962
2016-08-02 01:50:00,2.4457904671573
2016-08-02 01:55:00,3.08651236578778
2016-08-02 02:00:00,2.528788694627
2016-08-02 02:05:00,2.4164358107258996
2016-08-02 02:10:00,2.2406180417229598
2016-08-02 02:15:00,1.84151701492876
2016-08-02 02:20:00,1.59319744178392
2016-08-02 02:25:00,1.57745384623166
2016-08-02 02:30:00,1.8475764089428601
2016-08-02 02:35:00,1.8573173401972798
2016-08-02 02:40:00,1.5966405916303
2016-08-02 02:45:00,1.146346601607906
2016-08-02 02:50:00,1.09542590146738
2016-08-02 02:55:00,0.86456847331203
2016-08-02 03:00:00,0.49497079561144197
2016-08-02 03:05:00,0.376941081150342
2016-08-02 03:10:00,-0.2871123692494142
2016-08-02 03:15:00,-0.297339713885656
2016-08-02 03:20:00,-0.27083290898505996
2016-08-02 03:25:00,-0.48176721449082605
2016-08-02 03:30:00,-0.34734606024487
2016-08-02 03:35:00,-0.284285952251374
2016-08-02 03:40:00,-0.1043800796246224
2016-08-02 03:45:00,0.1094384491647172
2016-08-02 03:50:00,0.341699922202406
2016-08-02 03:55:00,0.511479775099416
2016-08-02 04:00:00,0.731749141781426
2016-08-02 04:05:00,1.503026470712
2016-08-02 04:10:00,2.8761451415251797
2016-08-02 04:15:00,6.78011259873748
2016-08-02 04:20:00,9.93075718008148
2016-08-02 04:25:00,10.8515108067377
2016-08-02 04:30:00,10.4851530154172
