# Station: FINO2
# Parameter: winddirection_vane_51m_0deg
# Unit: degree
# Titles:
Time	Value	Deviation	Quality
# Data:
2020-10-03 20:45:00	96	-99.999	2
2020-10-03 20:55:00	100	-99.999	2
2020-10-03 21:05:00	102	-99.999	2
2020-10-03 21:15:00	103	-99.999	2
2020-10-03 21:25:00	101	-99.999	2
2020-10-03 21:35:00	101	-99.999	2
2020-10-03 21:45:00	105	-99.999	2
2020-10-03 21:55:00	107	-99.999	2
2020-10-03 22:05:00	105	-99.999	2
2020-10-03 22:15:00	107	-99.999	2
2020-10-03 22:25:00	111	-99.999	2
2020-10-03 22:35:00	111	-99.999	2
2020-10-03 22:45:00	113	-99.999	2
2020-10-03 22:55:00	116	-99.999	2
2020-10-03 23:05:00	119	-99.999	2
2020-10-03 23:15:00	124	-99.999	2
2020-10-03 23:25:00	122	-99.999	2
2020-10-03 23:35:00	119	-99.999	2
2020-10-03 23:45:00	120	-99.999	2
2020-10-03 23:55:00	123	-99.999	2
2020-10-04 00:05:00	124	-99.999	2
2020-10-04 00:15:00	125	-99.999	2
2020-10-04 00:25:00	130	-99.999	2
2020-10-04 00:35:00	126	-99.999	2
2020-10-04 00:45:00	125	-99.999	2
2020-10-04 00:55:00	134	-99.999	2
2020-10-04 01:05:00	135	-99.999	2
2020-10-04 01:15:00	141	-99.999	2
2020-10-04 01:25:00	137	-99.999	2
2020-10-04 01:35:00	133	-99.999	2
2020-10-04 01:45:00	139	-99.999	2
2020-10-04 01:55:00	138	-99.999	2
2020-10-04 02:05:00	146	-99.999	2
2020-10-04 02:15:00	156	-99.999	2
2020-10-04 02:25:00	163	-99.999	2
2020-10-04 02:35:00	171	-99.999	2
2020-10-04 02:45:00	180	-99.999	2
2020-10-04 02:55:00	188	-99.999	2
2020-10-04 03:05:00	192	-99.999	2
2020-10-04 03:15:00	193	-99.999	2
2020-10-04 03:25:00	195	-99.999	2
2020-10-04 03:35:00	203	-99.999	2
2020-10-04 03:45:00	202	-99.999	2
2020-10-04 03:55:00	221	-99.999	2
2020-10-04 04:05:00	223	-99.999	2
2020-10-04 04:15:00	229	-99.999	2
2020-10-04 04:25:00	234	-99.999	2
2020-10-04 04:35:00	222	-99.999	2
2020-10-04 04:45:00	222	-99.999	2
2020-10-04 04:55:00	200	-99.999	2
2020-10-04 05:05:00	223	-99.999	2
2020-10-04 05:15:00	218	-99.999	2
2020-10-04 05:25:00	221	-99.999	2
2020-10-04 05:35:00	231	-99.999	2
2020-10-04 05:45:00	232	-99.999	2
2020-10-04 05:55:00	222	-99.999	2
2020-10-04 06:05:00	223	-99.999	2
2020-10-04 06:15:00	227	-99.999	2
2020-10-04 06:25:00	247	-99.999	2
