time,Value
2016-08-02 00:00:00,1.9553967469393
2016-08-02 00:01:00,2.3725501184815
2016-08-02 00:02:00,2.7007065560948
2016-08-02 00:03:00,2.9180329410395
2016-08-02 00:04:00,2.6300262811334
2016-08-02 00:05:00,1.9823891907005
2016-08-02 00:06:00,1.8378208969988
2016-08-02 00:07:00,1.6962289999175
2016-08-02 00:08:00,1.8872162789
2016-08-02 00:09:00,2.2111228628942
2016-08-02 00:10:00,1.9837797442698
2016-08-02 00:11:00,1.7877161550463
2016-08-02 00:12:00,1.1308183158298
2016-08-02 00:13:00,1.32829283428
2016-08-02 00:14:00,2.3035116406772
2016-08-02 00:15:00,3.1162055592492
2016-08-02 00:16:00,2.0950094328478
2016-08-02 00:17:00,1.8528437618764
2016-08-02 00:18:00,1.9903918560463
2016-08-02 00:19:00,2.0056413192242
2016-08-02 00:20:00,1.5931723999089
2016-08-02 00:21:00,1.7339028247714
2016-08-02 00:22:00,2.1231632146444
2016-08-02 00:23:00,1.9102387975773
2016-08-02 00:24:00,2.5934967151926
2016-08-02 00:25:00,2.7142841307452
2016-08-02 00:26:00,2.1335953478528
2016-08-02 00:27:00,2.3225598289311
2016-08-02 00:28:00,2.2951269024152
2016-08-02 00:29:00,2.4128503587007
2016-08-02 00:30:00,1.9590492968147
2016-08-02 00:31:00,1.7719033109065
2016-08-02 00:32:00,1.3461737272757
2016-08-02 00:33:00,1.3450035116518
2016-08-02 00:34:00,1.5249994178004
2016-08-02 00:35:00,1.6420455076902
2016-08-02 00:36:00,1.5773399050128
2016-08-02 00:37:00,1.3491737690435
2016-08-02 00:38:00,1.7485012574108
2016-08-02 00:39:00,2.508492234894
2016-08-02 00:40:00,2.5679315006974
2016-08-02 00:41:00,2.3238453239482
2016-08-02 00:42:00,2.2821999376417
2016-08-02 00:43:00,2.2747771250847
2016-08-02 00:44:00,2.2639904433718
2016-08-02 00:45:00,1.889030536961
2016-08-02 00:46:00,1.5738306564453
2016-08-02 00:47:00,1.5010819731556
2016-08-02 00:48:00,1.2401480582284
2016-08-02 00:49:00,1.7768304776772
2016-08-02 00:50:00,1.9180722205105
2016-08-02 00:51:00,1.6484755455175
2016-08-02 00:52:00,1.8045710630273
2016-08-02 00:53:00,2.0179852242659
2016-08-02 00:54:00,1.9937083751295
2016-08-02 00:55:00,2.3376511785843
2016-08-02 00:56:00,2.5483263210723
2016-08-02 00:57:00,2.7052076264049
2016-08-02 00:58:00,3.216361721876
2016-08-02 00:59:00,3.1623388719195
2016-08-02 01:00:00,2.9845748745608
2016-08-02 01:01:00,3.173433496814
2016-08-02 01:02:00,2.2000684348986
2016-08-02 01:03:00,2.0162447429588
2016-08-02 01:04:00,2.2545062272508
2016-08-02 01:05:00,2.7443378812988
2016-08-02 01:06:00,2.6877165979773
2016-08-02 01:07:00,2.6054444095346
2016-08-02 01:08:00,2.7299018251515
2016-08-02 01:09:00,2.125412228913
2016-08-02 01:10:00,2.0337822568023
2016-08-02 01:11:00,2.1987388249419
2016-08-02 01:12:00,2.1554700615403
2016-08-02 01:13:00,2.2162898914283
2016-08-02 01:14:00,2.0550284132264
2016-08-02 01:15:00,2.0571648975799
2016-08-02 01:16:00,2.347202081708
2016-08-02 01:17:00,2.3902247151583
2016-08-02 01:18:00,2.8454994636532
2016-08-02 01:19:00,2.5463769951843
2016-08-02 01:20:00,2.0822299042544
2016-08-02 01:21:00,1.9674426855982
2016-08-02 01:22:00,2.3215759880253
2016-08-02 01:23:00,2.308994187671
2016-08-02 01:24:00,3.2179312417333
2016-08-02 01:25:00,2.6373666694683
2016-08-02 01:26:00,2.4064908791059
2016-08-02 01:27:00,2.5635765995956
2016-08-02 01:28:00,1.790862818009
2016-08-02 01:29:00,1.3536522632922
2016-08-02 01:30:00,1.013132740636
2016-08-02 01:31:00,1.080683346202
2016-08-02 01:32:00,1.3110256899246
2016-08-02 01:33:00,1.4681039181155
2016-08-02 01:34:00,1.6439532079901
2016-08-02 01:35:00,1.7142644598601
2016-08-02 01:36:00,1.5808299832104
2016-08-02 01:37:00,1.7540949974562
2016-08-02 01:38:00,1.5907503834976
2016-08-02 01:39:00,1.6264143266485
2016-08-02 01:40:00,1.6416263445839
2016-08-02 01:41:00,1.4707320298908
2016-08-02 01:42:00,1.5414476726901
2016-08-02 01:43:00,1.6859017490117
2016-08-02 01:44:00,1.8972822128774
2016-08-02 01:45:00,2.0534416177532
2016-08-02 01:46:00,1.5900276919075
2016-08-02 01:47:00,1.5581877199167
2016-08-02 01:48:00,2.1161515403347
2016-08-02 01:49:00,2.0531614593444
2016-08-02 01:50:00,1.9997637906845
2016-08-02 01:51:00,1.6217760163255
2016-08-02 01:52:00,1.5659359764323
2016-08-02 01:53:00,1.6976233882857
2016-08-02 01:54:00,1.8643070918171
2016-08-02 01:55:00,1.5203303253891
2016-08-02 01:56:00,1.2936731109204
2016-08-02 01:57:00,1.3156285331657
2016-08-02 01:58:00,1.4796782272689
2016-08-02 01:59:00,1.5968234365562
2016-08-02 02:00:00,1.4031166793072
2016-08-02 02:01:00,1.4839132971659
2016-08-02 02:02:00,1.3846382421702
2016-08-02 02:03:00,1.1711326560852
2016-08-02 02:04:00,1.1552880105836
2016-08-02 02:05:00,1.238681902115
2016-08-02 02:06:00,1.2711430786133
2016-08-02 02:07:00,1.1680441568836
2016-08-02 02:08:00,1.2747049799007
2016-08-02 02:09:00,1.4383002396349
2016-08-02 02:10:00,1.5921624478725
2016-08-02 02:11:00,1.7941098064704
2016-08-02 02:12:00,1.7483761970977
2016-08-02 02:13:00,1.4768299860333
2016-08-02 02:14:00,1.7033596302669
2016-08-02 02:15:00,2.1539038976605
2016-08-02 02:16:00,1.7939186946423
2016-08-02 02:17:00,1.7448991968263
2016-08-02 02:18:00,2.084539736017
2016-08-02 02:19:00,2.2782600531039
2016-08-02 02:20:00,2.2717974441901
2016-08-02 02:21:00,2.4449699630642
2016-08-02 02:22:00,2.6121985451107
2016-08-02 02:23:00,2.0203795178893
2016-08-02 02:24:00,1.9470837170154
2016-08-02 02:25:00,2.0984610156875
2016-08-02 02:26:00,1.8485661769834
2016-08-02 02:27:00,1.8735293289795
2016-08-02 02:28:00,1.645346841158
2016-08-02 02:29:00,1.5485712058864
2016-08-02 02:30:00,1.550235056295
2016-08-02 02:31:00,1.5692786136204
2016-08-02 02:32:00,1.5989020979429
2016-08-02 02:33:00,1.6844170367455
2016-08-02 02:34:00,1.6192037811013
2016-08-02 02:35:00,1.4880056996207
2016-08-02 02:36:00,1.3138322221463
2016-08-02 02:37:00,1.150778558749
2016-08-02 02:38:00,1.1967153105621
2016-08-02 02:39:00,1.0785910294984
2016-08-02 02:40:00,1.2455473159138
2016-08-02 02:41:00,1.3894616389261
2016-08-02 02:42:00,1.5634445497848
2016-08-02 02:43:00,1.613926801155
2016-08-02 02:44:00,1.3207915032288
2016-08-02 02:45:00,1.2887007407384
2016-08-02 02:46:00,1.2322928063027
2016-08-02 02:47:00,1.1209552929585
2016-08-02 02:48:00,1.2974184396331
2016-08-02 02:49:00,1.365331205499
2016-08-02 02:50:00,1.4943759769261
2016-08-02 02:51:00,2.0616675626795
2016-08-02 02:52:00,2.1017988213324
2016-08-02 02:53:00,2.0379089047537
2016-08-02 02:54:00,2.0162861075991
2016-08-02 02:55:00,2.0180711127929
2016-08-02 02:56:00,2.1106395495425
2016-08-02 02:57:00,1.7969678782486
2016-08-02 02:58:00,1.9160797429212
2016-08-02 02:59:00,1.7680687018067
2016-08-02 03:00:00,1.8438008076088
2016-08-02 03:01:00,1.5999281681148
2016-08-02 03:02:00,1.6303558992286
2016-08-02 03:03:00,1.6693941111056
2016-08-02 03:04:00,1.623639909046
2016-08-02 03:05:00,1.7984239849987
2016-08-02 03:06:00,1.6042700149098
2016-08-02 03:07:00,1.6463139983542
2016-08-02 03:08:00,1.6297388618239
2016-08-02 03:09:00,1.5376158571689
2016-08-02 03:10:00,1.8064744087756
2016-08-02 03:11:00,1.3828032079654
2016-08-02 03:12:00,1.4411179620361
2016-08-02 03:13:00,1.5264473401765
2016-08-02 03:14:00,1.4198236639442
2016-08-02 03:15:00,1.4223151661702
2016-08-02 03:16:00,1.4395001296999
2016-08-02 03:17:00,1.5141309630052
2016-08-02 03:18:00,1.6890878793607
2016-08-02 03:19:00,1.6086165720436
2016-08-02 03:20:00,1.670313568776
2016-08-02 03:21:00,1.6000621960128
2016-08-02 03:22:00,1.5177318648763
2016-08-02 03:23:00,1.4921792967313
2016-08-02 03:24:00,1.3871829052306
2016-08-02 03:25:00,1.5029374287944
2016-08-02 03:26:00,1.3930711660801
2016-08-02 03:27:00,1.478337015223
2016-08-02 03:28:00,1.44503278628
2016-08-02 03:29:00,1.4419225318913
2016-08-02 03:30:00,1.5989788685219
2016-08-02 03:31:00,1.6898498990519
2016-08-02 03:32:00,1.4014837694871
2016-08-02 03:33:00,1.1763566839134
2016-08-02 03:34:00,1.2300218780516
2016-08-02 03:35:00,1.1901459737041
2016-08-02 03:36:00,1.1613115012395
2016-08-02 03:37:00,1.094918112575
2016-08-02 03:38:00,1.1457813556448
2016-08-02 03:39:00,1.1699708445454
2016-08-02 03:40:00,1.1680709770574
2016-08-02 03:41:00,1.1188661741228
2016-08-02 03:42:00,1.066139861455
2016-08-02 03:43:00,1.3038136475249
2016-08-02 03:44:00,1.2162214225232
2016-08-02 03:45:00,1.0984433013062
2016-08-02 03:46:00,1.0488387794632
2016-08-02 03:47:00,0.78345226652096
2016-08-02 03:48:00,0.92981801619076
2016-08-02 03:49:00,0.96831854210415
2016-08-02 03:50:00,0.83373269949029
2016-08-02 03:51:00,0.97835644938923
2016-08-02 03:52:00,1.0458712344972
2016-08-02 03:53:00,0.89411283171421
2016-08-02 03:54:00,0.85599074890104
2016-08-02 03:55:00,0.9455995906918
2016-08-02 03:56:00,0.75601160400867
2016-08-02 03:57:00,0.87788594939811
2016-08-02 03:58:00,1.0959875393824
2016-08-02 03:59:00,1.07065432534
2016-08-02 04:00:00,1.2714684661488
2016-08-02 04:01:00,1.3270443429801
2016-08-02 04:02:00,1.2621538585486
2016-08-02 04:03:00,1.4080893698673
2016-08-02 04:04:00,1.6132953294068
2016-08-02 04:05:00,1.6309788569912
2016-08-02 04:06:00,1.5231408323903
2016-08-02 04:07:00,1.4918293241137
2016-08-02 04:08:00,1.768009781162
2016-08-02 04:09:00,1.9500230617418
2016-08-02 04:10:00,2.0112386540147
2016-08-02 04:11:00,2.2588035466738
2016-08-02 04:12:00,2.8268713059627
2016-08-02 04:13:00,3.009310548605
2016-08-02 04:14:00,3.4642386920162
2016-08-02 04:15:00,3.6943585357515
2016-08-02 04:16:00,4.1136781142375
2016-08-02 04:17:00,4.0884043948132
2016-08-02 04:18:00,3.8219941300115
2016-08-02 04:19:00,3.7438741115805
2016-08-02 04:20:00,3.6184927796681
2016-08-02 04:21:00,3.6218970451981
2016-08-02 04:22:00,3.767515211166
2016-08-02 04:23:00,3.7276372258382
2016-08-02 04:24:00,3.7808835897082
2016-08-02 04:25:00,4.0345006212318
2016-08-02 04:26:00,3.9257328982725
2016-08-02 04:27:00,4.3488813377516
2016-08-02 04:28:00,4.2762645799244
2016-08-02 04:29:00,4.3005998618361
2016-08-02 04:30:00,4.1210701979148
2016-08-02 04:31:00,4.5025882600938
2016-08-02 04:32:00,4.732807414164
2016-08-02 04:33:00,4.7714728164748
2016-08-02 04:34:00,4.8492528067451
2016-08-02 04:35:00,5.2846984482891
2016-08-02 04:36:00,5.4079174132076
2016-08-02 04:37:00,5.7512526272512
2016-08-02 04:38:00,6.1334839845081
2016-08-02 04:39:00,6.5793455596805
2016-08-02 04:40:00,6.8424649039978
2016-08-02 04:41:00,7.0325629701994
2016-08-02 04:42:00,7.1260617640165
2016-08-02 04:43:00,7.4824195649815
2016-08-02 04:44:00,7.5595129805791
2016-08-02 04:45:00,7.3616796370661
2016-08-02 04:46:00,7.7643352755702
2016-08-02 04:47:00,8.1527431994491
2016-08-02 04:48:00,8.4564697346494
2016-08-02 04:49:00,8.2984713716507
2016-08-02 04:50:00,8.3513809226353
2016-08-02 04:51:00,8.8775484256827
2016-08-02 04:52:00,9.3768430919084
2016-08-02 04:53:00,8.9741776373788
2016-08-02 04:54:00,9.0032909913714
2016-08-02 04:55:00,8.7623631676896
2016-08-02 04:56:00,8.7798317216947
2016-08-02 04:57:00,8.9361763026561
2016-08-02 04:58:00,8.6954666135948
2016-08-02 04:59:00,8.8371148551723
2016-08-02 05:00:00,9.1682897562516
2016-08-02 05:01:00,9.0122069970533
2016-08-02 05:02:00,8.9153633342013
2016-08-02 05:03:00,9.0268414416542
2016-08-02 05:04:00,9.3693505374364
2016-08-02 05:05:00,9.510385584724
2016-08-02 05:06:00,10.19487697183
2016-08-02 05:07:00,10.089287353944
2016-08-02 05:08:00,9.9062466709058
2016-08-02 05:09:00,10.003214032354
2016-08-02 05:10:00,10.474618545669
2016-08-02 05:11:00,10.48629062244
2016-08-02 05:12:00,10.896381006096
2016-08-02 05:13:00,11.24845148019
2016-08-02 05:14:00,11.208255826853
2016-08-02 05:15:00,11.474201054866
2016-08-02 05:16:00,11.754130596351
2016-08-02 05:17:00,11.985241621319
2016-08-02 05:18:00,11.635315389579
2016-08-02 05:19:00,11.614153661832
2016-08-02 05:20:00,11.488844292202
2016-08-02 05:21:00,11.579204690241
2016-08-02 05:22:00,11.588857893838
2016-08-02 05:23:00,11.341313743581
2016-08-02 05:24:00,11.633845990157
2016-08-02 05:25:00,11.686553840981
2016-08-02 05:26:00,11.601756426714
2016-08-02 05:27:00,11.455730851973
2016-08-02 05:28:00,11.331915086065
2016-08-02 05:29:00,11.469855297899
2016-08-02 05:30:00,11.115018776413
2016-08-02 05:31:00,11.390727311317
2016-08-02 05:32:00,11.748051857523
2016-08-02 05:33:00,11.76574041644
2016-08-02 05:34:00,12.038642616761
2016-08-02 05:35:00,11.963964991038
2016-08-02 05:36:00,12.121839660629
2016-08-02 05:37:00,12.250431735744
2016-08-02 05:38:00,12.401079552075
2016-08-02 05:39:00,12.583625645498
2016-08-02 05:40:00,12.72683471922
2016-08-02 05:41:00,12.442832863849
2016-08-02 05:42:00,11.970444461938
2016-08-02 05:43:00,11.723167590318
2016-08-02 05:44:00,11.32626327684
2016-08-02 05:45:00,11.27635993134
2016-08-02 05:46:00,11.457057231033
2016-08-02 05:47:00,11.859634453814
2016-08-02 05:48:00,11.368974408189
2016-08-02 05:49:00,11.378693210571
2016-08-02 05:50:00,11.325526873379
2016-08-02 05:51:00,11.503515933433
2016-08-02 05:52:00,11.904229251022
