time,capacity
2016-08-01 12:00:00,4.067416
2016-08-01 12:05:00,4.079432
2016-08-01 12:10:00,3.9772959
2016-08-01 12:15:00,3.87516
2016-08-01 12:20:00,3.809072
2016-08-01 12:25:00,3.767016
2016-08-01 12:30:00,3.7129438
2016-08-01 12:35:00,3.6528637
2016-08-01 12:40:00,3.5447197
2016-08-01 12:45:00,3.5086718
2016-08-01 12:50:00,3.5086718
2016-08-01 12:55:00,3.51468
2016-08-01 13:00:00,3.5206883
2016-08-01 13:05:00,3.502664
2016-08-01 13:10:00,3.448592
2016-08-01 13:15:00,3.370488
2016-08-01 13:20:00,3.286376
2016-08-01 13:25:00,3.178232
2016-08-01 13:30:00,3.0460563
2016-08-01 13:35:00,2.919888
2016-08-01 13:40:00,2.79372
2016-08-01 13:45:00,2.7036
2016-08-01 13:50:00,2.6315038
2016-08-01 13:55:00,2.541384
2016-08-01 14:00:00,2.469288
2016-08-01 14:05:00,2.391184
2016-08-01 14:10:00,2.240984
2016-08-01 14:15:00,2.096792
2016-08-01 14:20:00,1.9405841
2016-08-01 14:25:00,1.790384
2016-08-01 14:30:00,1.670224
2016-08-01 14:35:00,1.556072
2016-08-01 14:40:00,1.4419199
2016-08-01 14:45:00,1.3457919
2016-08-01 14:50:00,1.2376479
2016-08-01 14:55:00,1.1475279
2016-08-01 15:00:00,1.0453919
2016-08-01 15:05:00,0.94926405
2016-08-01 15:10:00,0.87116
2016-08-01 15:15:00,0.79906404
2016-08-01 15:20:00,0.732976
2016-08-01 15:25:00,0.66088
2016-08-01 15:30:00,0.61882395
2016-08-01 15:35:00,0.576768
2016-08-01 15:40:00,0.534712
2016-08-01 15:45:00,0.48064
2016-08-01 15:50:00,0.444592
2016-08-01 15:55:00,0.42056
2016-08-01 16:00:00,0.39652798
2016-08-01 16:05:00,0.38451204
2016-08-01 16:10:00,0.366488
2016-08-01 16:15:00,0.34846398
2016-08-01 16:20:00,0.31842402
2016-08-01 16:25:00,0.282376
2016-08-01 16:30:00,0.246328
2016-08-01 16:35:00,0.216288
2016-08-01 16:40:00,0.186248
2016-08-01 16:45:00,0.16822399
2016-08-01 16:50:00,0.15620801
2016-08-01 16:55:00,0.144192
2016-08-01 17:00:00,0.126168
2016-08-01 17:05:00,0.108144
2016-08-01 17:10:00,0.078104004
2016-08-01 17:15:00,0.048064005
2016-08-01 17:20:00,0.018024
2016-08-01 17:25:00,0.0
2016-08-01 17:30:00,0.0
2016-08-01 17:35:00,0.0
2016-08-01 17:40:00,0.0
2016-08-01 17:45:00,0.0
2016-08-01 17:50:00,0.0
2016-08-01 17:55:00,0.0
2016-08-01 18:00:00,0.0
2016-08-01 18:05:00,0.0
2016-08-01 18:10:00,0.0
2016-08-01 18:15:00,0.0
2016-08-01 18:20:00,0.0
2016-08-01 18:25:00,0.0
2016-08-01 18:30:00,0.0
2016-08-01 18:35:00,0.0
2016-08-01 18:40:00,0.0
2016-08-01 18:45:00,0.0
2016-08-01 18:50:00,0.0
2016-08-01 18:55:00,0.0
2016-08-01 19:00:00,0.0
2016-08-01 19:05:00,0.0
2016-08-01 19:10:00,0.0
2016-08-01 19:15:00,0.0
2016-08-01 19:20:00,0.0
2016-08-01 19:25:00,0.0
2016-08-01 19:30:00,0.0
2016-08-01 19:35:00,0.0
2016-08-01 19:40:00,0.0
2016-08-01 19:45:00,0.0
2016-08-01 19:50:00,0.0
2016-08-01 19:55:00,0.0
2016-08-01 20:00:00,0.0
2016-08-01 20:05:00,0.0
2016-08-01 20:10:00,0.0
