time,capacity
2016-08-01 12:00:00,0.399393
2016-08-01 12:05:00,0.40118402
2016-08-01 12:10:00,0.40118402
2016-08-01 12:15:00,0.40118402
2016-08-01 12:20:00,0.404766
2016-08-01 12:25:00,0.408348
2016-08-01 12:30:00,0.410139
2016-08-01 12:35:00,0.408348
2016-08-01 12:40:00,0.415512
2016-08-01 12:45:00,0.42804897
2016-08-01 12:50:00,0.440586
2016-08-01 12:55:00,0.44237697
2016-08-01 13:00:00,0.43163097
2016-08-01 13:05:00,0.415512
2016-08-01 13:10:00,0.40118402
2016-08-01 13:15:00,0.38685602
2016-08-01 13:20:00,0.379692
2016-08-01 13:25:00,0.37252802
2016-08-01 13:30:00,0.36357298
2016-08-01 13:35:00,0.354618
2016-08-01 13:40:00,0.34029
2016-08-01 13:45:00,0.31700698
2016-08-01 13:50:00,0.281187
2016-08-01 13:55:00,0.238203
2016-08-01 14:00:00,0.18447301
2016-08-01 14:05:00,0.14148901
2016-08-01 14:10:00,0.103878
2016-08-01 14:15:00,0.07164
2016-08-01 14:20:00,0.046566002
2016-08-01 14:25:00,0.026865
2016-08-01 14:30:00,0.010746
2016-08-01 14:35:00,0.0071640005
2016-08-01 14:40:00,0.0035820003
2016-08-01 14:45:00,0.0
2016-08-01 14:50:00,0.0
2016-08-01 14:55:00,0.0
2016-08-01 15:00:00,0.0
2016-08-01 15:05:00,0.0
2016-08-01 15:10:00,0.0
2016-08-01 15:15:00,0.0
2016-08-01 15:20:00,0.0
2016-08-01 15:25:00,0.0
2016-08-01 15:30:00,0.0
2016-08-01 15:35:00,0.0
2016-08-01 15:40:00,0.0
2016-08-01 15:45:00,0.0
2016-08-01 15:50:00,0.0
2016-08-01 15:55:00,0.0
2016-08-01 16:00:00,0.0
2016-08-01 16:05:00,0.0
2016-08-01 16:10:00,0.0
2016-08-01 16:15:00,0.0
2016-08-01 16:20:00,0.0
2016-08-01 16:25:00,0.0
2016-08-01 16:30:00,0.0
2016-08-01 16:35:00,0.0
2016-08-01 16:40:00,0.0
2016-08-01 16:45:00,0.0
2016-08-01 16:50:00,0.0017910001
2016-08-01 16:55:00,0.0035820003
2016-08-01 17:00:00,0.005373
2016-08-01 17:05:00,0.005373
2016-08-01 17:10:00,0.0035820003
2016-08-01 17:15:00,0.0017910001
2016-08-01 17:20:00,0.0
2016-08-01 17:25:00,0.0
2016-08-01 17:30:00,0.0
2016-08-01 17:35:00,0.0
2016-08-01 17:40:00,0.0
2016-08-01 17:45:00,0.0
2016-08-01 17:50:00,0.0017910001
2016-08-01 17:55:00,0.0017910001
2016-08-01 18:00:00,0.0017910001
2016-08-01 18:05:00,0.0017910001
2016-08-01 18:10:00,0.0
2016-08-01 18:15:00,0.0
2016-08-01 18:20:00,0.0
2016-08-01 18:25:00,0.0
2016-08-01 18:30:00,0.0
2016-08-01 18:35:00,0.0
2016-08-01 18:40:00,0.0
2016-08-01 18:45:00,0.0
2016-08-01 18:50:00,0.0
2016-08-01 18:55:00,0.0
2016-08-01 19:00:00,0.0
2016-08-01 19:05:00,0.0
2016-08-01 19:10:00,0.0
2016-08-01 19:15:00,0.0
2016-08-01 19:20:00,0.0
2016-08-01 19:25:00,0.0
2016-08-01 19:30:00,0.0
2016-08-01 19:35:00,0.0
2016-08-01 19:40:00,0.0
2016-08-01 19:45:00,0.0
2016-08-01 19:50:00,0.0
2016-08-01 19:55:00,0.0
2016-08-01 20:00:00,0.0
2016-08-01 20:05:00,0.0
2016-08-01 20:10:00,0.0
2016-08-01 20:15:00,0.0
2016-08-01 20:20:00,0.0
2016-08-01 20:25:00,0.0
2016-08-01 20:30:00,0.0
2016-08-01 20:35:00,0.0
2016-08-01 20:40:00,0.0
2016-08-01 20:45:00,0.0
2016-08-01 20:50:00,0.0
2016-08-01 20:55:00,0.0
2016-08-01 21:00:00,0.0
2016-08-01 21:05:00,0.0017910001
2016-08-01 21:10:00,0.005373
2016-08-01 21:15:00,0.005373
2016-08-01 21:20:00,0.0071640005
2016-08-01 21:25:00,0.005373
2016-08-01 21:30:00,0.0017910001
2016-08-01 21:35:00,0.0
2016-08-01 21:40:00,0.0
2016-08-01 21:45:00,0.0
2016-08-01 21:50:00,0.0
2016-08-01 21:55:00,0.0
2016-08-01 22:00:00,0.0
2016-08-01 22:05:00,0.0
2016-08-01 22:10:00,0.0
2016-08-01 22:15:00,0.0
2016-08-01 22:20:00,0.0017910001
2016-08-01 22:25:00,0.0071640005
2016-08-01 22:30:00,0.008955
2016-08-01 22:35:00,0.010746
2016-08-01 22:40:00,0.010746
2016-08-01 22:45:00,0.008955
2016-08-01 22:50:00,0.008955
2016-08-01 22:55:00,0.014328001
2016-08-01 23:00:00,0.023283001
2016-08-01 23:05:00,0.034029
2016-08-01 23:10:00,0.042984
2016-08-01 23:15:00,0.048357002
2016-08-01 23:20:00,0.048357002
2016-08-01 23:25:00,0.042984
2016-08-01 23:30:00,0.034029
2016-08-01 23:35:00,0.025074001
2016-08-01 23:40:00,0.01791
2016-08-01 23:45:00,0.014328001
2016-08-01 23:50:00,0.01791
2016-08-01 23:55:00,0.028656002
2016-08-02 00:00:00,0.044775
2016-08-02 00:05:00,0.060894005
2016-08-02 00:10:00,0.060894005
2016-08-02 00:15:00,0.044775
2016-08-02 00:20:00,0.028656002
2016-08-02 00:25:00,0.023283001
2016-08-02 00:30:00,0.030447003
2016-08-02 00:35:00,0.044775
2016-08-02 00:40:00,0.062685
2016-08-02 00:45:00,0.077013
2016-08-02 00:50:00,0.098505
2016-08-02 00:55:00,0.12537
2016-08-02 01:00:00,0.146862
2016-08-02 01:05:00,0.148653
2016-08-02 01:10:00,0.130743
2016-08-02 01:15:00,0.112833
2016-08-02 01:20:00,0.102087
2016-08-02 01:25:00,0.096714005
2016-08-02 01:30:00,0.094923
2016-08-02 01:35:00,0.094923
2016-08-02 01:40:00,0.094923
2016-08-02 01:45:00,0.08955
2016-08-02 01:50:00,0.084176995
2016-08-02 01:55:00,0.085968
2016-08-02 02:00:00,0.096714005
2016-08-02 02:05:00,0.111042
2016-08-02 02:10:00,0.123578995
2016-08-02 02:15:00,0.136116
2016-08-02 02:20:00,0.150444
2016-08-02 02:25:00,0.16835399
2016-08-02 02:30:00,0.189846
2016-08-02 02:35:00,0.218502
2016-08-02 02:40:00,0.24894899
2016-08-02 02:45:00,0.28835097
2016-08-02 02:50:00,0.34566298
2016-08-02 02:55:00,0.415512
2016-08-02 03:00:00,0.48357
2016-08-02 03:05:00,0.539091
2016-08-02 03:10:00,0.56953794
2016-08-02 03:15:00,0.57670194
2016-08-02 03:20:00,0.562374
2016-08-02 03:25:00,0.539091
2016-08-02 03:30:00,0.503271
2016-08-02 03:35:00,0.46028697
2016-08-02 03:40:00,0.41193
2016-08-02 03:45:00,0.35103598
2016-08-02 03:50:00,0.281187
2016-08-02 03:55:00,0.227457
2016-08-02 04:00:00,0.19701
2016-08-02 04:05:00,0.182682
2016-08-02 04:10:00,0.177309
2016-08-02 04:15:00,0.171936
2016-08-02 04:20:00,0.157608
2016-08-02 04:25:00,0.137907
2016-08-02 04:30:00,0.118206
2016-08-02 04:35:00,0.096714005
2016-08-02 04:40:00,0.077013
2016-08-02 04:45:00,0.060894005
2016-08-02 04:50:00,0.051939
2016-08-02 04:55:00,0.042984
2016-08-02 05:00:00,0.044775
2016-08-02 05:05:00,0.059103
2016-08-02 05:10:00,0.084176995
2016-08-02 05:15:00,0.100296006
2016-08-02 05:20:00,0.094923
2016-08-02 05:25:00,0.08955
2016-08-02 05:30:00,0.10746
2016-08-02 05:35:00,0.14328
2016-08-02 05:40:00,0.18626401
2016-08-02 05:45:00,0.227457
2016-08-02 05:50:00,0.261486
2016-08-02 05:55:00,0.297306
2016-08-02 06:00:00,0.32775298
2016-08-02 06:05:00,0.35103598
2016-08-02 06:10:00,0.367155
2016-08-02 06:15:00,0.377901
2016-08-02 06:20:00,0.385065
2016-08-02 06:25:00,0.38864696
2016-08-02 06:30:00,0.38685602
2016-08-02 06:35:00,0.38327402
2016-08-02 06:40:00,0.374319
2016-08-02 06:45:00,0.35640898
2016-08-02 06:50:00,0.318798
2016-08-02 06:55:00,0.23103899
2016-08-02 07:00:00,0.14148901
2016-08-02 07:05:00,0.112833
2016-08-02 07:10:00,0.112833
2016-08-02 07:15:00,0.116414994
2016-08-02 07:20:00,0.12178801
2016-08-02 07:25:00,0.128952
2016-08-02 07:30:00,0.137907
2016-08-02 07:35:00,0.14328
2016-08-02 07:40:00,0.137907
2016-08-02 07:45:00,0.12537
2016-08-02 07:50:00,0.112833
2016-08-02 07:55:00,0.100296006
2016-08-02 08:00:00,0.087758996
2016-08-02 08:05:00,0.077013
2016-08-02 08:10:00,0.075222
2016-08-02 08:15:00,0.075222
2016-08-02 08:20:00,0.078804
2016-08-02 08:25:00,0.080595
2016-08-02 08:30:00,0.078804
2016-08-02 08:35:00,0.078804
2016-08-02 08:40:00,0.078804
2016-08-02 08:45:00,0.082386
2016-08-02 08:50:00,0.091341
2016-08-02 08:55:00,0.100296006
2016-08-02 09:00:00,0.105669
2016-08-02 09:05:00,0.109251
2016-08-02 09:10:00,0.116414994
2016-08-02 09:15:00,0.14328
2016-08-02 09:20:00,0.211338
2016-08-02 09:25:00,0.33849898
2016-08-02 09:30:00,0.51939
2016-08-02 09:35:00,0.723564
2016-08-02 09:40:00,0.915201
2016-08-02 09:45:00,1.0853461
2016-08-02 09:50:00,1.225044
2016-08-02 09:55:00,1.323549
2016-08-02 10:00:00,1.386234
2016-08-02 10:05:00,1.4363819
2016-08-02 10:10:00,1.4722021
2016-08-02 10:15:00,1.4865301
2016-08-02 10:20:00,1.488321
2016-08-02 10:25:00,1.482948
2016-08-02 10:30:00,1.466829
2016-08-02 10:35:00,1.4525009
2016-08-02 10:40:00,1.447128
2016-08-02 10:45:00,1.4578741
2016-08-02 10:50:00,1.4722021
2016-08-02 10:55:00,1.481157
2016-08-02 11:00:00,1.481157
2016-08-02 11:05:00,1.4757841
2016-08-02 11:10:00,1.4650381
2016-08-02 11:15:00,1.4596651
2016-08-02 11:20:00,1.4650381
2016-08-02 11:25:00,1.479366
2016-08-02 11:30:00,1.491903
2016-08-02 11:35:00,1.5062311
2016-08-02 11:40:00,1.5151861
2016-08-02 11:45:00,1.518768
2016-08-02 11:50:00,1.5223501
2016-08-02 11:55:00,1.5223501
2016-08-02 12:00:00,1.5223501
2016-08-02 12:05:00,1.5223501
2016-08-02 12:10:00,1.5223501
2016-08-02 12:15:00,1.5223501
2016-08-02 12:20:00,1.5223501
2016-08-02 12:25:00,1.5223501
2016-08-02 12:30:00,1.5223501
2016-08-02 12:35:00,1.5223501
2016-08-02 12:40:00,1.5223501
2016-08-02 12:45:00,1.5223501
2016-08-02 12:50:00,1.5223501
2016-08-02 12:55:00,1.5223501
2016-08-02 13:00:00,1.518768
2016-08-02 13:05:00,1.5169771
2016-08-02 13:10:00,1.5133951
2016-08-02 13:15:00,1.4990671
2016-08-02 13:20:00,1.4847391
2016-08-02 13:25:00,1.466829
2016-08-02 13:30:00,1.448919
2016-08-02 13:35:00,1.4363819
2016-08-02 13:40:00,1.418472
2016-08-02 13:45:00,1.3790699
2016-08-02 13:50:00,1.3360859
2016-08-02 13:55:00,1.291311
2016-08-02 14:00:00,1.228626
2016-08-02 14:05:00,1.1534039
2016-08-02 14:10:00,1.090719
2016-08-02 14:15:00,1.067436
2016-08-02 14:20:00,1.078182
2016-08-02 14:25:00,1.1068379
2016-08-02 14:30:00,1.148031
2016-08-02 14:35:00,1.192806
2016-08-02 14:40:00,1.223253
2016-08-02 14:45:00,1.251909
2016-08-02 14:50:00,1.284147
2016-08-02 14:55:00,1.3217579
2016-08-02 15:00:00,1.36116
2016-08-02 15:05:00,1.3969799
2016-08-02 15:10:00,1.41489
2016-08-02 15:15:00,1.416681
2016-08-02 15:20:00,1.4202629
2016-08-02 15:25:00,1.429218
2016-08-02 15:30:00,1.4399639
2016-08-02 15:35:00,1.448919
2016-08-02 15:40:00,1.4596651
2016-08-02 15:45:00,1.4739931
2016-08-02 15:50:00,1.482948
2016-08-02 15:55:00,1.4901121
2016-08-02 16:00:00,1.495485
2016-08-02 16:05:00,1.502649
2016-08-02 16:10:00,1.509813
2016-08-02 16:15:00,1.5133951
2016-08-02 16:20:00,1.5151861
2016-08-02 16:25:00,1.5169771
2016-08-02 16:30:00,1.518768
2016-08-02 16:35:00,1.520559
2016-08-02 16:40:00,1.520559
2016-08-02 16:45:00,1.5223501
2016-08-02 16:50:00,1.5223501
2016-08-02 16:55:00,1.5223501
2016-08-02 17:00:00,1.5223501
