# Station: FINO2
# Parameter: windspeed_cup_102m_180deg
# Unit: m/s
# Titles:
Time	Value	Minimum	Maximum	Deviation	Quality
# Data:
2020-10-03 00:05:00	12.57	9.62	15.32	1.15	3
2020-10-03 00:15:00	12.62	9.68	14.59	1.01	3
2020-10-03 00:25:00	12.49	9.51	14.93	1	3
2020-10-03 00:35:00	12.98	9.18	15.87	.9	3
2020-10-03 00:45:00	12.53	4.8	15.35	1.88	3
2020-10-03 00:55:00	12.81	8.94	15.41	1.14	3
2020-10-03 01:05:00	12.81	9.45	15.93	1.28	3
2020-10-03 01:15:00	14	10.52	16.18	1.07	3
2020-10-03 01:25:00	13.67	9.51	16.02	1.03	3
2020-10-03 01:35:00	13.99	11.79	16.63	.9	3
2020-10-03 01:45:00	13.45	10.45	15.82	1.05	3
2020-10-03 01:55:00	13.41	10.94	16.08	.98	3
2020-10-03 02:05:00	13.62	10.54	16.13	1.19	3
2020-10-03 02:15:00	13.44	10.6	15.81	1.05	3
2020-10-03 02:25:00	12.7	10.23	15.66	1.25	3
2020-10-03 02:35:00	13.88	11.09	16.21	1.03	3
2020-10-03 02:45:00	13.77	11.03	15.67	.79	3
2020-10-03 02:55:00	12.57	9.07	15.38	1.19	3
2020-10-03 03:05:00	13.73	8.14	16.59	1.49	3
2020-10-03 03:15:00	14.01	9.42	16.89	1.33	3
2020-10-03 03:25:00	14.23	10.4	16.9	1.22	3
2020-10-03 03:35:00	14.56	10.74	17.95	1.45	3
2020-10-03 03:45:00	15.38	11.06	18.77	1.41	3
2020-10-03 03:55:00	14.39	11.54	16.86	.99	3
2020-10-03 04:05:00	13.16	8.27	15.96	1.53	3
2020-10-03 04:15:00	14.68	9.85	17.86	1.76	3
2020-10-03 04:25:00	14.52	9.19	18.02	1.7	3
2020-10-03 04:35:00	13.88	7.27	17.57	2.19	3
2020-10-03 04:45:00	14.03	9.47	17.92	1.76	3
2020-10-03 04:55:00	15.03	9	18.14	1.89	3
2020-10-03 05:05:00	15.72	12.09	18.57	1.17	3
2020-10-03 05:15:00	16.14	12.3	18.7	1.18	3
2020-10-03 05:25:00	15.95	12.98	18.04	1.03	3
2020-10-03 05:35:00	14.37	9.68	17.79	1.59	3
2020-10-03 05:45:00	14.81	10.69	18.73	1.77	3
2020-10-03 05:55:00	12.76	8.17	17.69	2.06	3
2020-10-03 06:05:00	14.23	7.02	18.99	2.07	3
2020-10-03 06:15:00	12.73	7.24	18.39	2.01	3
2020-10-03 06:25:00	12.15	7.66	16.63	1.69	3
2020-10-03 06:35:00	12.77	8.27	17.42	1.88	3
2020-10-03 06:45:00	12.35	7.73	18.78	2.15	3
2020-10-03 06:55:00	14.16	8.43	19.86	2.44	3
2020-10-03 07:05:00	15.95	10.42	20.37	2.21	3
2020-10-03 07:15:00	16.69	12.2	19.56	1.42	3
2020-10-03 07:25:00	16.57	12	20.35	1.93	3
2020-10-03 07:35:00	15.25	9.4	19.44	2.04	3
2020-10-03 07:45:00	14.94	9.66	19.23	2	3
2020-10-03 07:55:00	15.28	10.05	19.61	1.89	3
2020-10-03 08:05:00	15	8.67	18.9	2.04	3
2020-10-03 08:15:00	15.95	10.34	20.2	1.85	3
2020-10-03 08:25:00	15.98	11.68	20.8	1.57	3
2020-10-03 08:35:00	15.96	11.36	19.42	1.64	3
2020-10-03 08:45:00	15.53	8.74	20.14	2.37	3
2020-10-03 08:55:00	15.34	9.81	19.5	2.24	3
2020-10-03 09:05:00	17.31	10.74	22.23	2.17	3
2020-10-03 09:15:00	15.95	10.92	19.89	2.04	3
2020-10-03 09:25:00	16.51	11.13	19.71	1.74	3
2020-10-03 09:35:00	16.43	10.51	19.18	1.55	3
2020-10-03 09:45:00	15.43	10.27	19.4	1.86	3
2020-10-03 09:55:00	14.55	9.24	19.51	2.5	3
2020-10-03 10:05:00	15.24	9.36	18.66	1.79	3
2020-10-03 10:15:00	16	11.94	19.37	1.7	3
2020-10-03 10:25:00	14.73	9.43	19	1.97	3
2020-10-03 10:35:00	14.14	8.32	19.43	2.24	3
2020-10-03 10:45:00	14.53	9.88	19.32	1.97	3
2020-10-03 10:55:00	14.05	8.37	19.68	2.14	3
2020-10-03 11:05:00	12.97	8.08	17.89	1.83	3
2020-10-03 11:15:00	12.41	6.53	18.42	2.04	3
2020-10-03 11:25:00	12.94	8.74	18.74	2.17	3
2020-10-03 11:35:00	12.89	9.01	17.48	1.88	3
2020-10-03 11:45:00	12.65	8.45	19.05	2.03	3
2020-10-03 11:55:00	13.04	7.84	18.29	1.87	3
2020-10-03 12:05:00	12.55	7.04	18.15	2.07	3
2020-10-03 12:15:00	12.63	7.56	17.72	2.06	3
2020-10-03 12:25:00	12.96	6.31	17.87	1.78	3
2020-10-03 12:35:00	11.97	7.95	17.26	1.84	3
2020-10-03 12:45:00	13.63	8.84	18.77	2.02	3
2020-10-03 12:55:00	14.02	8.85	19.02	1.88	3
2020-10-03 13:05:00	14.38	8.66	19.76	1.99	3
2020-10-03 13:15:00	15.5	10.58	19.97	1.84	3
2020-10-03 13:25:00	15.36	8.7	19.77	2.58	3
2020-10-03 13:35:00	14.44	9.22	19.29	2.22	3
2020-10-03 13:45:00	13.58	9.32	18.63	1.99	3
2020-10-03 13:55:00	13.71	9.52	19.11	1.9	3
2020-10-03 14:05:00	14.28	8.04	21.76	2.4	3
2020-10-03 14:15:00	13.83	9.06	19.1	1.89	3
2020-10-03 14:25:00	13.77	9.26	20.42	2.03	3
2020-10-03 14:35:00	13.46	9.14	19.54	1.97	3
2020-10-03 14:45:00	13.58	8.5	18.83	1.9	3
2020-10-03 14:55:00	13.71	8.05	18.92	2.19	3
2020-10-03 15:05:00	12.47	8.37	17.27	1.7	3
2020-10-03 15:15:00	12.79	7.45	18.93	1.92	3
2020-10-03 15:25:00	11.65	6.57	17.13	1.83	3
2020-10-03 15:35:00	11.57	5.15	16.17	1.81	3
2020-10-03 15:45:00	11.73	7.71	17.41	1.77	3
2020-10-03 15:55:00	11.12	5.49	16.4	1.93	3
2020-10-03 16:05:00	10.94	6.91	15.34	1.66	3
2020-10-03 16:15:00	12.19	6.99	18.83	2.08	3
2020-10-03 16:25:00	12.38	7.72	17.97	1.77	3
2020-10-03 16:35:00	11.45	6.9	17.75	2.04	3
2020-10-03 16:45:00	12.48	8.34	17.4	1.84	3
2020-10-03 16:55:00	11.58	7.49	16.98	1.85	3
2020-10-03 17:05:00	10.97	6.85	16.41	2.02	3
2020-10-03 17:15:00	10.78	6.62	15.96	2.08	3
2020-10-03 17:25:00	11.23	6.6	17.32	1.9	3
2020-10-03 17:35:00	11.48	7.12	16.38	1.75	3
2020-10-03 17:45:00	12.41	7.76	18.15	2.09	3
2020-10-03 17:55:00	10.99	6.2	17.01	1.92	3
2020-10-03 18:05:00	11.34	6.21	18.9	2.19	3
2020-10-03 18:15:00	12.73	7.76	17.72	2.17	3
2020-10-03 18:25:00	12.45	8.38	17.51	1.78	3
