# Station: FINO2
# Parameter: windspeed_cup_62m_180deg
# Unit: m/s
# Titles:
Time	Value	Minimum	Maximum	Deviation	Quality
# Data:
2020-10-03 00:05:00	12.23	9.84	15.02	.98	3
2020-10-03 00:15:00	12.23	8.99	14.65	1.07	6
2020-10-03 00:25:00	12.23	9.67	14.8	1	6
2020-10-03 00:35:00	12.76	9.88	14.89	.95	3
2020-10-03 00:45:00	12.5	6.12	15.32	1.55	3
2020-10-03 00:55:00	12.7	10.25	14.65	.8	3
2020-10-03 01:05:00	12.68	10.06	15.46	1.16	3
2020-10-03 01:15:00	13.68	10.98	15.79	.97	3
2020-10-03 01:25:00	13.36	9.99	15.72	1.07	3
2020-10-03 01:35:00	13.64	10.94	16.49	.96	3
2020-10-03 01:45:00	13.18	10.53	16.38	1.01	3
2020-10-03 01:55:00	13.27	10.87	16.06	1.09	3
2020-10-03 02:05:00	13.31	10.65	16.47	1.07	3
2020-10-03 02:15:00	13.37	10.87	16.05	1.2	3
2020-10-03 02:25:00	12.41	9.59	15.17	1.11	3
2020-10-03 02:35:00	13.6	10.73	15.99	.99	3
2020-10-03 02:45:00	13.46	11.03	15.67	.78	3
2020-10-03 02:55:00	12.38	8.56	14.97	1.13	3
2020-10-03 03:05:00	13.66	8.12	16.4	1.25	3
2020-10-03 03:15:00	13.7	11.06	16.09	1.12	3
2020-10-03 03:25:00	14.19	10.59	16.86	1.12	3
2020-10-03 03:35:00	14.22	10.68	16.96	1.19	3
2020-10-03 03:45:00	15.09	11.87	18.81	1.36	3
2020-10-03 03:55:00	14.11	11.8	16.59	.84	3
2020-10-03 04:05:00	13.37	9.04	16.52	1.36	3
2020-10-03 04:15:00	14.46	10.75	17.13	1.31	3
2020-10-03 04:25:00	14.14	8.91	17.7	1.66	3
2020-10-03 04:35:00	13.78	9.33	17.62	1.82	3
2020-10-03 04:45:00	14.03	8.67	17.98	1.6	3
2020-10-03 04:55:00	15.02	8.1	18.09	1.76	3
2020-10-03 05:05:00	15.29	11.72	19	1.18	3
2020-10-03 05:15:00	15.91	12.75	18.94	1.16	3
2020-10-03 05:25:00	15.62	12.76	18.14	1.11	3
2020-10-03 05:35:00	14.04	8.96	17.31	1.44	3
2020-10-03 05:45:00	14.67	9.51	18.48	1.56	3
2020-10-03 05:55:00	12.57	8.54	17.33	1.82	3
2020-10-03 06:05:00	13.81	9.25	18.02	1.54	3
2020-10-03 06:15:00	12.89	4.82	18	1.93	3
2020-10-03 06:25:00	12.45	8.24	16.19	1.59	3
2020-10-03 06:35:00	13.13	8.83	18.22	1.84	3
2020-10-03 06:45:00	13.07	8.84	17.94	1.8	3
2020-10-03 06:55:00	14.3	9.85	18.62	1.99	3
2020-10-03 07:05:00	15.59	11.02	19.71	1.91	3
2020-10-03 07:15:00	16.34	11.98	19.35	1.39	3
2020-10-03 07:25:00	16.52	12.63	19.55	1.65	3
2020-10-03 07:35:00	15	10.13	20.02	1.95	3
2020-10-03 07:45:00	15.13	10.25	19.82	1.88	3
2020-10-03 07:55:00	15.19	10.55	18.6	1.43	3
2020-10-03 08:05:00	14.68	10.03	18.21	1.67	3
2020-10-03 08:15:00	15.59	11.46	19.06	1.54	3
2020-10-03 08:25:00	15.39	10.2	18.8	1.49	3
2020-10-03 08:35:00	15.7	10.53	19.26	1.6	3
2020-10-03 08:45:00	15.88	10.38	20.34	1.86	3
2020-10-03 08:55:00	15.23	9.58	20.11	2.09	3
2020-10-03 09:05:00	16.91	11.63	21.65	2.05	3
2020-10-03 09:15:00	15.68	10.91	19.09	1.82	3
2020-10-03 09:25:00	15.88	10.93	19.15	1.56	3
2020-10-03 09:35:00	16.02	10.75	18.87	1.41	3
2020-10-03 09:45:00	15.22	11.24	19.62	1.58	3
2020-10-03 09:55:00	14.66	9.33	19.17	2.28	3
2020-10-03 10:05:00	15.12	10.23	18.96	1.66	3
2020-10-03 10:15:00	15.23	10.9	19.52	1.66	3
2020-10-03 10:25:00	14.48	9.6	19.12	1.74	3
2020-10-03 10:35:00	14.23	9.22	19.39	1.97	3
2020-10-03 10:45:00	14.48	9.59	18.76	1.79	3
2020-10-03 10:55:00	13.97	8.28	18.38	1.78	3
2020-10-03 11:05:00	13.15	7.81	18.63	1.72	3
2020-10-03 11:15:00	13.54	8.73	18.7	1.96	3
2020-10-03 11:25:00	13.27	9.08	18.06	1.7	3
2020-10-03 11:35:00	12.58	7.6	17.17	1.87	3
2020-10-03 11:45:00	12.23	7.02	17.07	1.7	3
2020-10-03 11:55:00	12.73	8.36	17.13	1.83	3
2020-10-03 12:05:00	12.77	8.21	17.55	1.69	3
2020-10-03 12:15:00	13.24	8.13	18.26	1.85	3
2020-10-03 12:25:00	13.11	8.82	17.37	1.68	3
2020-10-03 12:35:00	12.65	8.43	18.28	1.67	3
2020-10-03 12:45:00	12.99	8.58	18.29	1.8	3
2020-10-03 12:55:00	13.38	8.88	18.37	1.61	3
2020-10-03 13:05:00	13.64	9.12	18.29	1.65	3
2020-10-03 13:15:00	14.94	10.77	19.05	1.83	3
2020-10-03 13:25:00	14.79	10.06	20.05	2.34	3
2020-10-03 13:35:00	13.78	10.13	18.12	1.53	3
2020-10-03 13:45:00	13.98	9.08	18.71	1.68	3
2020-10-03 13:55:00	14.11	9.3	19.11	1.68	3
2020-10-03 14:05:00	14.47	9.43	21.24	2.22	3
