# Station: FINO2
# Parameter: windspeed_cup_72m_180deg
# Unit: m/s
# Titles:
Time	Value	Minimum	Maximum	Deviation	Quality
# Data:
2020-10-03 00:05:00	12.27	10.24	15.01	.95	3
2020-10-03 00:15:00	12.34	9.11	14.69	1.01	3
2020-10-03 00:25:00	12.18	9.81	14.65	1.02	3
2020-10-03 00:35:00	12.8	9.34	15.01	.94	3
2020-10-03 00:45:00	12.48	6.12	15.47	1.62	3
2020-10-03 00:55:00	12.75	9.65	15.01	.91	3
2020-10-03 01:05:00	12.74	10.42	15.54	1.12	3
2020-10-03 01:15:00	13.86	10.96	16.1	1	3
2020-10-03 01:25:00	13.42	9.9	16.54	1.12	3
2020-10-03 01:35:00	13.78	10.71	16.7	.99	3
2020-10-03 01:45:00	13.27	10.58	16.1	1.03	3
2020-10-03 01:55:00	13.31	10.88	16	1.07	3
2020-10-03 02:05:00	13.36	10.62	16.5	1.11	3
2020-10-03 02:15:00	13.42	10.69	15.91	1.18	3
2020-10-03 02:25:00	12.45	8.99	15.39	1.2	3
2020-10-03 02:35:00	13.7	10.82	16	1	3
2020-10-03 02:45:00	13.61	11.54	15.89	.77	3
2020-10-03 02:55:00	12.41	8.29	15.42	1.24	3
2020-10-03 03:05:00	13.67	7.88	16.45	1.42	3
2020-10-03 03:15:00	13.79	10.72	16.51	1.21	3
2020-10-03 03:25:00	14.27	11.47	16.91	1.12	3
2020-10-03 03:35:00	14.31	10.38	18.19	1.35	3
2020-10-03 03:45:00	15.17	10.99	19.13	1.4	3
2020-10-03 03:55:00	14.24	12.22	16.96	.85	3
2020-10-03 04:05:00	13.2	7.93	16.16	1.49	3
2020-10-03 04:15:00	14.43	10.55	17.33	1.46	3
2020-10-03 04:25:00	14.03	7.9	17.55	1.74	3
2020-10-03 04:35:00	13.7	8.18	17.43	1.93	3
2020-10-03 04:45:00	13.85	9.17	18.09	1.69	3
2020-10-03 04:55:00	15	8.24	18.55	1.81	3
2020-10-03 05:05:00	15.41	12.16	18.99	1.12	3
2020-10-03 05:15:00	15.92	12.85	18.67	1.16	3
2020-10-03 05:25:00	15.68	12.81	18.22	1.14	3
2020-10-03 05:35:00	14.02	9.96	17.21	1.54	3
2020-10-03 05:45:00	14.6	9.6	18.58	1.7	3
2020-10-03 05:55:00	12.41	8.7	17.41	1.83	3
2020-10-03 06:05:00	13.77	9.12	17.78	1.64	3
2020-10-03 06:15:00	12.75	8.17	18.62	1.9	3
2020-10-03 06:25:00	12.21	7.84	16.36	1.69	3
2020-10-03 06:35:00	12.74	8.61	17.58	1.81	3
2020-10-03 06:45:00	12.71	8.05	18.01	1.92	3
2020-10-03 06:55:00	14.02	8.72	18.55	2.13	3
2020-10-03 07:05:00	15.53	11.3	20.11	2	3
2020-10-03 07:15:00	16.36	11.96	19.4	1.43	3
2020-10-03 07:25:00	16.51	12.1	19.58	1.74	3
2020-10-03 07:35:00	14.95	10.27	19.73	2.03	3
2020-10-03 07:45:00	15	9.69	19.45	1.99	3
2020-10-03 07:55:00	15.07	10.14	18.3	1.54	3
2020-10-03 08:05:00	14.57	10.26	18.43	1.75	3
2020-10-03 08:15:00	15.62	10.31	19.4	1.62	3
2020-10-03 08:25:00	15.28	11.61	18.62	1.52	3
2020-10-03 08:35:00	15.6	10.29	19.46	1.69	3
2020-10-03 08:45:00	15.72	10.61	19.95	2.01	3
2020-10-03 08:55:00	15.2	10.32	19.44	2.05	3
2020-10-03 09:05:00	16.9	11.91	21.74	2.07	3
2020-10-03 09:15:00	15.57	10.58	19.58	1.86	3
2020-10-03 09:25:00	15.96	10.37	19.42	1.63	3
2020-10-03 09:35:00	16.07	10.72	19.39	1.5	3
2020-10-03 09:45:00	15.21	10.15	19.64	1.69	3
2020-10-03 09:55:00	14.58	9.2	19.38	2.31	3
2020-10-03 10:05:00	15.12	10.38	18.65	1.64	3
2020-10-03 10:15:00	15.25	10.03	19.44	1.68	3
2020-10-03 10:25:00	14.41	9.91	18.59	1.83	3
2020-10-03 10:35:00	14.17	9.12	19.35	1.93	3
2020-10-03 10:45:00	14.34	9.91	19.04	1.96	3
2020-10-03 10:55:00	13.81	8.65	18.05	1.85	3
2020-10-03 11:05:00	13.07	8.91	18.68	1.74	3
2020-10-03 11:15:00	13.29	7.96	18.94	2.04	3
2020-10-03 11:25:00	12.94	8.51	18.86	1.66	3
2020-10-03 11:35:00	12.38	8.12	17.14	1.77	3
2020-10-03 11:45:00	12.17	6.86	16.71	1.71	3
2020-10-03 11:55:00	12.62	8.29	17.73	1.77	3
2020-10-03 12:05:00	12.59	7.45	17.7	1.76	3
2020-10-03 12:15:00	12.88	7.56	17.65	1.87	3
2020-10-03 12:25:00	12.95	8.79	17.43	1.7	3
2020-10-03 12:35:00	12.34	7.9	17.8	1.6	3
2020-10-03 12:45:00	12.72	8.82	18.38	1.82	3
2020-10-03 12:55:00	13.14	7.97	18.09	1.74	3
2020-10-03 13:05:00	13.57	8.83	19.42	1.66	3
2020-10-03 13:15:00	14.81	10.22	18.64	1.94	3
2020-10-03 13:25:00	14.64	9.62	20.14	2.51	3
2020-10-03 13:35:00	13.65	9.72	18.81	1.78	3
2020-10-03 13:45:00	13.73	9.16	18.79	1.94	3
2020-10-03 13:55:00	13.82	9.51	18.66	1.79	3
2020-10-03 14:05:00	14.25	9.27	21.26	2.26	3
2020-10-03 14:15:00	13.64	8.08	18.46	1.73	3
2020-10-03 14:25:00	13.31	9.26	18.29	1.73	3
2020-10-03 14:35:00	13.16	8.93	18.41	1.59	3
2020-10-03 14:45:00	13.88	9.93	18.42	1.7	3
2020-10-03 14:55:00	13.88	8.34	18.87	2.05	3
2020-10-03 15:05:00	12.66	8.49	16.76	1.63	3
2020-10-03 15:15:00	12.98	8.19	17.56	1.87	3
2020-10-03 15:25:00	11.75	7.45	16.14	1.72	3
2020-10-03 15:35:00	11.68	6.94	16.26	1.69	3
2020-10-03 15:45:00	11.4	7.66	16.54	1.71	3
2020-10-03 15:55:00	10.95	7.24	15.67	1.8	3
2020-10-03 16:05:00	10.45	7.11	15.27	1.42	3
2020-10-03 16:15:00	12.33	8.04	17.73	1.77	3
2020-10-03 16:25:00	12.4	7.8	17.82	1.77	3
2020-10-03 16:35:00	11.7	7.41	16.6	1.8	3
2020-10-03 16:45:00	12.37	7.7	18.92	1.74	3
2020-10-03 16:55:00	11.48	7.68	18.09	1.67	3
2020-10-03 17:05:00	10.84	6.02	16.18	2.02	3
2020-10-03 17:15:00	10.66	6.37	16.53	2.01	3
2020-10-03 17:25:00	10.64	6.42	17.42	1.78	3
2020-10-03 17:35:00	11.39	6.76	16.33	1.73	3
2020-10-03 17:45:00	12.22	6.27	17.03	1.87	3
2020-10-03 17:55:00	10.96	5.81	15.95	1.74	3
2020-10-03 18:05:00	10.74	6.62	16.75	1.9	3
2020-10-03 18:15:00	12.73	7.67	17.77	1.88	3
2020-10-03 18:25:00	11.94	7.31	17.09	2.02	3
2020-10-03 18:35:00	12.58	7.12	18.46	1.99	3
2020-10-03 18:45:00	12.34	7.75	18.06	1.95	3
2020-10-03 18:55:00	13.24	9.28	17.92	1.45	3
2020-10-03 19:05:00	12.39	8.64	15.46	1.23	3
2020-10-03 19:15:00	12.62	9.75	15.04	.98	3
2020-10-03 19:25:00	12.82	9.19	16.01	1.07	3
2020-10-03 19:35:00	12.28	8.74	15.89	1.43	3
2020-10-03 19:45:00	11.84	8.12	14.69	1.39	3
2020-10-03 19:55:00	11.86	7.58	15.75	1.41	3
2020-10-03 20:05:00	11.77	7.24	16.08	1.77	3
2020-10-03 20:15:00	12.49	6.59	17.68	1.99	3
2020-10-03 20:25:00	11.95	7.45	16.03	1.67	3
2020-10-03 20:35:00	10.85	6.73	15.58	1.67	3
2020-10-03 20:45:00	11.42	6.32	16.28	1.73	3
2020-10-03 20:55:00	13.09	8.97	16.32	1.13	3
2020-10-03 21:05:00	13.68	11.49	15.85	.84	3
