time,PNW_BH1
2016-08-02 00:00:00,
2016-08-02 00:01:00,0.20216817560685402
2016-08-02 00:02:00,-0.009185477812470005
2016-08-02 00:03:00,-0.4027345703611
2016-08-02 00:04:00,-0.19609909578836998
2016-08-02 00:05:00,0.07155751533950999
2016-08-02 00:06:00,-0.31675392123780005
2016-08-02 00:07:00,-0.03781780897923992
2016-08-02 00:08:00,0.06981541141115
2016-08-02 00:09:00,0.07961114517889001
2016-08-02 00:10:00,0.32719443171710993
2016-08-02 00:11:00,0.38632937163409997
2016-08-02 00:12:00,0.38682929630515
2016-08-02 00:13:00,0.14463027575353993
2016-08-02 00:14:00,-0.47471254342000996
2016-08-02 00:15:00,0.09134487763589999
2016-08-02 00:16:00,0.36026985257194
2016-08-02 00:17:00,-0.49777240227416
2016-08-02 00:18:00,-0.27997164353653503
2016-08-02 00:19:00,0.213629851051235
2016-08-02 00:20:00,-0.32284185453813996
2016-08-02 00:21:00,-0.29600748370658003
2016-08-02 00:22:00,0.441908739110892
2016-08-02 00:23:00,0.581897233383588
2016-08-02 00:24:00,0.042689086168870016
2016-08-02 00:25:00,-0.02585405810573005
2016-08-02 00:26:00,0.041425043170680076
2016-08-02 00:27:00,-0.41810182523677003
2016-08-02 00:28:00,-0.211412765839982
2016-08-02 00:29:00,0.6873241563802219
2016-08-02 00:30:00,-0.07553190313254998
2016-08-02 00:31:00,-0.657836243246301
2016-08-02 00:32:00,0.497592233131531
2016-08-02 00:33:00,-0.2015783680497
2016-08-02 00:34:00,0.35113107425228995
2016-08-02 00:35:00,0.30862318493933005
2016-08-02 00:36:00,-0.45256900899858005
2016-08-02 00:37:00,-0.56334236687795
2016-08-02 00:38:00,-0.33534970005032005
2016-08-02 00:39:00,-0.12510166441045
2016-08-02 00:40:00,0.09375817523473007
2016-08-02 00:41:00,0.17251990363529995
2016-08-02 00:42:00,-0.7251574625922199
2016-08-02 00:43:00,-0.026288379718399923
2016-08-02 00:44:00,0.14719740058239994
2016-08-02 00:45:00,0.6205720743648699
2016-08-02 00:46:00,0.03255327880985004
2016-08-02 00:47:00,0.10196993074163999
2016-08-02 00:48:00,-0.23256231473179997
2016-08-02 00:49:00,0.07647497065978998
2016-08-02 00:50:00,0.10463765511009998
2016-08-02 00:51:00,0.38010837602196
2016-08-02 00:52:00,0.22259228424521998
2016-08-02 00:53:00,-0.33856010305393697
2016-08-02 00:54:00,0.323873504930337
2016-08-02 00:55:00,-0.7297785183229
2016-08-02 00:56:00,-0.6598680384559299
2016-08-02 00:57:00,-0.12116284458240001
2016-08-02 00:58:00,0.9095920550821799
2016-08-02 00:59:00,0.07097793620853002
2016-08-02 01:00:00,0.268204873757831
2016-08-02 01:01:00,-0.202781125750421
2016-08-02 01:02:00,0.08823434114207002
2016-08-02 01:03:00,-0.27013667479609
2016-08-02 01:04:00,-0.31954911900416
2016-08-02 01:05:00,0.01992077559485994
2016-08-02 01:06:00,0.49781985295561004
2016-08-02 01:07:00,0.37972449780965
2016-08-02 01:08:00,0.30062681038667005
2016-08-02 01:09:00,0.048615862526259934
2016-08-02 01:10:00,0.34769707859471
2016-08-02 01:11:00,0.11496270304159995
2016-08-02 01:12:00,0.5035452586991
2016-08-02 01:13:00,-0.58418091949713
2016-08-02 01:14:00,-0.44861059111084
2016-08-02 01:15:00,-0.03795374579782995
2016-08-02 01:16:00,-0.77066772212697
2016-08-02 01:17:00,-0.028257671642100024
2016-08-02 01:18:00,-0.10927548161468997
2016-08-02 01:19:00,-0.10350572351436998
2016-08-02 01:20:00,0.46701792331118996
2016-08-02 01:21:00,0.8207757833482701
2016-08-02 01:22:00,0.14448100358939997
2016-08-02 01:23:00,0.1250986360733699
2016-08-02 01:24:00,0.17642541625520014
2016-08-02 01:25:00,-0.64777183055797
2016-08-02 01:26:00,0.31762628656479996
2016-08-02 01:27:00,0.19316244650917003
2016-08-02 01:28:00,0.0051549504974000016
2016-08-02 01:29:00,-0.11204165958440004
2016-08-02 01:30:00,-0.08677404921680998
2016-08-02 01:31:00,0.03497898856104997
2016-08-02 01:32:00,-0.71912304778072
2016-08-02 01:33:00,-0.4516830412952
2016-08-02 01:34:00,0.36304194651062
2016-08-02 01:35:00,0.09056202534800001
2016-08-02 01:36:00,-0.277441513321731
2016-08-02 01:37:00,0.024694127049316
2016-08-02 01:38:00,-0.04610328780340799
2016-08-02 01:39:00,-0.138181578839137
2016-08-02 01:40:00,0.016863205586630015
2016-08-02 01:41:00,0.07890916129796999
2016-08-02 01:42:00,0.34076908701627
2016-08-02 01:43:00,0.25206919783455994
2016-08-02 01:44:00,0.3503634621983
2016-08-02 01:45:00,-0.27435610359496
2016-08-02 01:46:00,-0.004758433951149943
2016-08-02 01:47:00,0.30587364671966
2016-08-02 01:48:00,0.68064074342384
2016-08-02 01:49:00,-0.2166749795466001
2016-08-02 01:50:00,0.5519781196892002
2016-08-02 01:51:00,0.606944129018
2016-08-02 01:52:00,-0.21924455069040016
2016-08-02 01:53:00,0.13598104833010005
2016-08-02 01:54:00,-0.048669902403000176
2016-08-02 01:55:00,-0.39460348394879974
2016-08-02 01:56:00,-0.034704437987900016
2016-08-02 01:57:00,-0.4674966596464001
2016-08-02 01:58:00,0.21888744959169992
2016-08-02 01:59:00,-0.06281097052179985
2016-08-02 02:00:00,-0.5493561261904001
2016-08-02 02:01:00,-0.19217032355880992
2016-08-02 02:02:00,-0.10669215600226001
2016-08-02 02:03:00,0.31974775971316993
2016-08-02 02:04:00,0.13289696278920005
2016-08-02 02:05:00,-0.07425302068310002
2016-08-02 02:06:00,-0.5390483235390799
2016-08-02 02:07:00,0.05588181760655997
2016-08-02 02:08:00,0.63853845873882
2016-08-02 02:09:00,-0.34655784469478
2016-08-02 02:10:00,0.1426850803279801
2016-08-02 02:11:00,0.448348420421
2016-08-02 02:12:00,0.3584288757862
