,PNW_KL3,WRF Centroid Actual
2016-08-02 00:00:00,0.22201524916268356,24.164570583333333
2016-08-02 01:00:00,23.20640091523817,24.164570583333333
2016-08-02 02:00:00,23.20640091523817,24.164570583333333
2016-08-02 03:00:00,247.70238921828914,338.7752483333333
2016-08-02 04:00:00,247.70238921828914,338.7752483333333
2016-08-02 05:00:00,247.70238921828914,338.7752483333333
2016-08-02 06:00:00,247.70238921828914,338.7752483333333
2016-08-02 07:00:00,247.70238921828914,338.7752483333333
2016-08-02 08:00:00,247.70238921828914,338.7752483333333
2016-08-02 09:00:00,247.70238921828914,338.7752483333333
2016-08-02 10:00:00,247.70238921828914,338.7752483333333
2016-08-02 11:00:00,247.70238921828914,338.7752483333333
2016-08-02 12:00:00,247.70238921828914,338.7752483333333
2016-08-02 13:00:00,247.70238921828914,338.7752483333333
2016-08-02 14:00:00,247.70238921828914,338.7752483333333
2016-08-02 15:00:00,247.70238921828914,338.7752483333333
2016-08-02 16:00:00,247.70238921828914,338.7752483333333
2016-08-02 17:00:00,247.70238921828914,338.7752483333333
2016-08-02 18:00:00,247.70238921828914,338.7752483333333
2016-08-02 19:00:00,247.70238921828914,338.7752483333333
2016-08-02 20:00:00,247.70238921828914,338.7752483333333
2016-08-02 21:00:00,247.70238921828914,338.7752483333333
2016-08-02 22:00:00,290.5392175672128,338.7752483333333
2016-08-02 23:00:00,290.5392175672128,338.7752483333333
2016-08-03 00:00:00,290.5392175672128,338.7752483333333
2016-08-03 01:00:00,290.5392175672128,338.7752483333333
2016-08-03 02:00:00,290.5392175672128,338.7752483333333
2016-08-03 03:00:00,290.5392175672128,338.7752483333333
2016-08-03 04:00:00,290.5392175672128,338.7752483333333
2016-08-03 05:00:00,290.5392175672128,338.7752483333333
2016-08-03 06:00:00,226.06770979375406,338.7752483333333
2016-08-03 07:00:00,226.06770979375406,338.7752483333333
2016-08-03 08:00:00,265.4964655780652,338.7752483333333
2016-08-03 09:00:00,265.4964655780652,322.1085533333333
2016-08-03 10:00:00,265.4964655780652,322.1085533333333
2016-08-03 11:00:00,265.4964655780652,193.02596416666665
2016-08-03 12:00:00,265.4964655780652,193.02596416666665
2016-08-03 13:00:00,265.4964655780652,193.02596416666665
2016-08-03 14:00:00,27.392320772379957,193.02596416666665
2016-08-03 15:00:00,27.392320772379957,17.445304916666668
2016-08-03 16:00:00,36.709480408367604,17.445304916666668
2016-08-03 17:00:00,36.709480408367604,17.445304916666668
2016-08-03 18:00:00,36.709480408367604,17.445304916666668
2016-08-03 19:00:00,36.709480408367604,17.445304916666668
2016-08-03 20:00:00,36.709480408367604,17.445304916666668
2016-08-03 21:00:00,36.709480408367604,17.445304916666668
2016-08-03 22:00:00,36.709480408367604,17.445304916666668
2016-08-03 23:00:00,36.709480408367604,17.445304916666668
2016-08-04 00:00:00,36.709480408367604,17.445304916666668
2016-08-04 01:00:00,0.0,2.9257916949999996
2016-08-04 02:00:00,0.0,46.124952500000006
